City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,coahuayana,18.7333,-103.6833,72.57,88,3,1.68,MX,1680574106
132,abidjan,5.3094,-4.0197,76.96,100,20,2.3,CI,1680574107
133,kamina,-8.7386,24.9906,63.39,97,100,0.81,CD,1680574108
134,stephenville,32.2207,-98.2023,80.6,67,40,16.11,US,1680573565
135,palmas bellas,9.2319,-80.0867,78.48,88,67,12.19,PA,1680574108
136,eucaliptus,-17.5833,-67.5167,51.04,67,100,6.2,BO,1680574109
137,deputatskiy,69.3,139.9,11.53,91,69,3.65,RU,1680574110
138,dingle,10.9995,122.6711,86.86,57,48,10.18,PH,1680574110
139,pachino,36.7186,15.0907,54.52,66,100,14.03,IT,1680574111
140,bengkulu,-3.8004,102.2655,79.5,80,83,2.37,ID,1680574111
141,dikson,73.5069,80.5464,-6.86,97,100,11.79,RU,1680574112
142,ashta,23.0167,76.7167,76.3,33,5,7.63,IN,1680574113
143,pasighat,28.0667,95.3333,63.86,83,100,2.48,IN,1680574113
144,kita,13.0349,-9.4895,80.71,9,4,2.95,ML,1680574114
145,straumen,63.8709,11.2999,33.8,99,100,7.72,NO,1680574114
146,lawrenceburg,38.0373,-84.8966,63.18,55,0,12.66,US,1680574014
147,altamirano,16.8833,-92.15,58.51,68,22,3.04,MX,1680574116
148,acari,-15.4311,-74.6158,76.86,83,64,3.15,PE,1680574116
149,cairns,-16.9167,145.7667,94.06,70,75,5.75,AU,1680574117
150,sorong,-0.8833,131.25,81.55,78,100,10.65,ID,1680573959
151,verdun,49.25,5.3333,35.82,74,0,11.16,FR,1680574118
152,hilo,19.7297,-155.09,78.94,71,100,3.44,US,1680574118
153,jurm,36.8648,70.8342,44.8,85,100,1.25,AF,1680574119
154,calvia,39.5657,2.5062,49.08,84,0,5.46,ES,1680574119
155,tiksi,71.6872,128.8694,18.52,85,100,5.23,RU,1680574119
156,shatrovo,56.5167,64.6333,34.93,78,77,3.36,RU,1680574120
157,hobyo,5.3505,48.5268,82.38,67,10,11.3,SO,1680574120
158,torres,-29.3353,-49.7269,67.82,86,15,6.22,BR,1680574121
159,dwarka,22.2394,68.9678,76.84,82,6,10.6,IN,1680574121
160,gari,59.4307,62.3497,34.34,96,100,9.73,RU,1680574121
161,ongandjera,-17.8833,15.0667,75.22,50,99,0.87,NA,1680574121
162,zyryanka,65.75,150.85,14.41,74,13,15.43,RU,1680574121
163,conde,-7.2597,-34.9075,78.26,89,40,4.61,BR,1680574120
164,hofn,64.2539,-15.2082,46.08,94,100,22.12,IS,1680574122
165,sompeta,18.9333,84.6,82.17,80,10,13.04,IN,1680574122
166,college,64.8569,-147.8028,35.58,57,75,4.61,US,1680574122
167,kodiak,57.79,-152.4072,35.11,93,100,8.05,US,1680574122
168,port alfred,-33.5906,26.891,66.42,76,99,15.43,ZA,1680574122
169,port lincoln,-34.7333,135.8667,73.76,40,11,5.06,AU,1680574122
170,tambovka,50.0969,128.0489,36.45,25,49,18.1,RU,1680574123
171,quesnel,52.9999,-122.5029,34.88,83,100,4.54,CA,1680574110
172,torbay,47.6666,-52.7314,30.58,83,7,10.0,CA,1680574123
173,ekhabi,53.5102,142.9671,29.23,95,100,18.99,RU,1680574123
174,parang,7.3704,124.2697,83.43,72,81,2.86,PH,1680574123
175,lesosibirsk,58.2358,92.4828,32.77,99,100,8.77,RU,1680574123
176,fort nelson,58.8053,-122.7002,27.48,85,100,5.64,CA,1680574123
177,palauig,15.435,119.9045,84.11,67,31,6.49,PH,1680574124
178,klaksvik,62.2266,-6.589,45.52,92,100,26.04,FO,1680574124
179,bati,11.1833,40.0167,64.08,81,96,1.95,ET,1680574124
180,mantua,45.1667,10.7833,45.64,70,66,3.0,IT,1680573928
181,ahipara,-35.1667,173.1667,67.75,55,0,12.28,NZ,1680574124
182,kirakira,-10.4544,161.9205,86.86,67,31,7.11,SB,1680574125
183,boa vista,2.8197,-60.6733,82.38,51,0,10.36,BR,1680574125
184,yellowknife,62.456,-114.3525,14.81,94,100,4.34,CA,1680574125
185,alice springs,-23.7,133.8833,83.75,24,9,9.22,AU,1680573835
186,lazaro cardenas,17.9583,-102.2,77.14,74,0,6.87,MX,1680574125
187,hasaki,35.7333,140.8333,59.4,52,0,10.8,JP,1680574124
188,saint george,37.1041,-113.5841,40.42,70,40,16.11,US,1680573862
189,tateyama,34.9833,139.8667,58.08,51,0,6.31,JP,1680574125
190,mackay,-21.15,149.2,85.68,73,21,9.73,AU,1680574126
191,oum hadjer,13.2954,19.6966,82.02,15,99,6.62,TD,1680574126
192,batticaloa,7.7102,81.6924,79.29,80,5,7.61,LK,1680574126
193,provideniya,64.3833,-173.3,8.71,66,75,20.13,RU,1680574126
194,kokopo,-4.352,152.2633,83.43,69,99,4.94,PG,1680574126
195,lorengau,-2.0226,147.2712,85.69,64,20,5.17,PG,1680574127
196,barrow,71.2906,-156.7887,3.22,72,75,13.8,US,1680574072
197,palmares do sul,-30.2578,-50.5097,70.79,79,13,11.52,BR,1680574127
198,roald,62.5833,6.1333,40.75,93,20,3.44,NO,1680574127
199,lompoc,34.6391,-120.4579,52.59,67,0,31.07,US,1680574127
200,russell,32.3502,-85.1999,65.48,94,40,0.0,US,1680574127
201,helong,42.5397,128.9972,58.84,40,100,6.26,CN,1680574128
202,cockburn town,21.4612,-71.1419,77.5,75,0,20.56,TC,1680574128
203,banda aceh,5.5577,95.3222,81.73,74,55,1.68,ID,1680574123
204,turukhansk,65.8167,87.9833,-12.93,91,27,6.71,RU,1680574128
205,liberty,31.8335,-81.5004,69.98,47,75,0.0,US,1680574128
206,victoria,22.2855,114.1577,79.43,92,33,4.0,HK,1680573905
207,georgetown,5.4112,100.3354,84.13,87,20,3.44,MY,1680573909
208,rawson,-43.3002,-65.1023,59.72,64,1,12.35,AR,1680574076
209,tuatapere,-46.1333,167.6833,63.39,55,63,3.94,NZ,1680574069
210,punjai puliyampatti,11.35,77.2,79.84,74,55,3.4,IN,1680574129
211,duku,11.2361,4.9073,83.64,10,57,4.52,NG,1680574129
212,montepuez,-13.1256,38.9997,65.57,99,38,3.51,MZ,1680574129
213,swan hill,-35.3378,143.5544,78.89,31,7,1.81,AU,1680574129
214,lakes entrance,-37.8811,147.981,80.17,45,13,4.56,AU,1680574129
215,champerico,14.3,-91.9167,83.7,65,75,8.93,GT,1680574129
216,plainfield,40.6168,-74.4173,55.42,68,0,4.0,US,1680573960
217,rio gallegos,-51.6226,-69.2181,51.85,50,75,12.66,AR,1680574130
218,gazli,40.1333,63.45,50.34,57,99,9.98,UZ,1680574130
219,indramayu,-6.3264,108.32,81.18,75,100,3.8,ID,1680574131
220,paramonga,-10.6667,-77.8333,77.13,82,100,8.75,PE,1680574131
221,waipawa,-41.4122,175.5153,58.41,57,3,6.13,NZ,1680574131
222,ostrovnoy,68.0531,39.5131,14.97,89,8,19.73,RU,1680574131
223,lowestoft,52.4752,1.7516,36.23,65,10,9.69,GB,1680574131
224,santiago de cao,-7.9589,-79.2392,82.53,74,75,9.22,PE,1680574131
225,monterey,36.2505,-121.2516,43.9,62,5,15.12,US,1680574131
226,abha,18.2164,42.5053,55.65,88,40,6.91,SA,1680574131
227,tabas,33.5959,56.9244,57.51,24,1,3.51,IR,1680574132
228,maningrida,-12.0667,134.2667,88.05,54,100,7.52,AU,1680574122
229,aljezur,37.3191,-8.8033,54.95,83,100,16.49,PT,1680574133
230,baruun-urt,46.6806,113.2792,28.94,21,65,3.62,MN,1680574133
231,cape town,-33.9258,18.4232,60.12,86,0,1.14,ZA,1680573900
232,huarmey,-10.0681,-78.1522,78.04,81,100,7.34,PE,1680574124
233,hami,42.8,93.45,32.49,77,100,5.59,CN,1680574134
234,porto novo,6.4965,2.6036,80.35,83,88,8.21,BJ,1680574134
